mensaje,etiqueta
"Recibirá su tono en las próximas 24 horas. Para conocer los términos y condiciones, consulte Teletexto del Canal U, pág. 750",basura
"Su tono de llamada gratuito está esperando a ser recogido. Simplemente envíe un mensaje de texto con la contraseña ""MIX"" al 85069 para verificar. Consigue a Usher y Britney. FML, Apartado de correos 5249, MK17 92H. 450Ppw 16",basura
Duplique sus minutos y txts en Orange o alquiler de línea de precio 1/2 - Motorola y SonyEricsson con B / Tooth FREE-Nokia FREE Call MobileUpd8 en 08000839402 or2optout / HV9D,basura
Tienes 1 mensaje nuevo. Llame al 08718738034.,basura
¡Solo diciembre! ¿Tu móvil tenía más de 11 meses? ¡Tiene derecho a actualizar a la última cámara móvil a color gratis! Llame GRATIS a Mobile Update Co al 08002986906,basura
"¡22 días para empezar! Para Euro2004 U se mantendrá al día con las últimas noticias y resultados diariamente. Para eliminarlo, envíe GET TXT STOP al 83222",basura
Espero que hayas disfrutado de tu nuevo contenido. envíe un mensaje de texto al 61610 para cancelar la suscripción. ayuda: 08712400602450p Proporcionado por tones2you.co.uk,basura
"Como suscriptor registrado en el sorteo 4, se ingresará un vale de regalo de £ 100 al recibir una respuesta correcta. ¿Cuándo son las próximas olimpiadas? Txt ans al 80062",basura
Habla sexy !! Haz nuevos amigos o enamórate en el servicio de citas por texto más discreto del mundo. Simplemente envíe un mensaje de texto con VIP al 83110 y vea a quién puede conocer.,basura
¡Responde para ganar £ 100 semanales! ¿Dónde se celebrará la Copa Mundial de la FIFA 2006? Envíe STOP al 87239 para finalizar el servicio,basura
¡Llame a Alemania por solo 1 centavo el minuto! Llame desde una línea fija a través del número de acceso 0844 861 85 85. Sin prepago. ¡Acceso directo! www.telediscount.co.uk,basura
¿Quieres echar un polvo esta noche? ¿Quieres que las ubicaciones reales de Dogging se envíen directamente a 2 ur Mob? Únase a la red Dogging más grande del Reino Unido enviando un mensaje de texto con MEAN al 69888 Nyt. ec2a. 31p.msg@150p,basura
¡Urgente! Llame al 09061213237 desde un teléfono fijo. 5000 £ en efectivo o un día festivo de 4 * aguardan la recogida. T&C SAE PO Box 177 M227XY. 16+,basura
Su suscripción a TONEXS ha sido renovada y se le ha cobrado £ 4.50. Puedes elegir 10 polys más este mes. www.clubzed.co.uk * FACTURACIÓN MSG *,basura
"En La película de Los Simpson estrenada en julio de 2007, ¿nombre la banda que murió al comienzo de la película? A-Día verde, B-Día azul, C-Día rojo. (Enviar A, B o C)",basura
"Ha GANADO un premio garantizado de £ 1000 en efectivo o un premio de £ 2000. Para reclamar su premio, llame a nuestro representante de servicio al cliente en",basura
"¡SEIS oportunidades de ganar EFECTIVO! De 100 a 20,000 libras txt> CSH11 y enviar al 87575. Costo 150p / día, 6 días, se aplican 16+ TsandCs Responder HL 4 info",basura
"Cliente de Orange, ahora puede reclamar su actualización GRATUITA de TELÉFONO CON CÁMARA por su lealtad. Llame ahora al 0207 153 9996. La oferta finaliza el 14 de marzo. Se aplican los términos y condiciones. Exclusión disponible",basura
"Gracias por su pedido de tonos de llamada, número de referencia X49. Su móvil se cargará 4.50. Si su tono no llega, llame al servicio de atención al cliente 09065989182. De: [color = rojo] texto [/ color] TXTstar",basura
"¡Alguien que conoces ha pedido a nuestro servicio de citas 2 que te contacte! ¿No puedo adivinar quién? LLAME AL 09058091854 AHORA, todo será revelado. PO BOX385 M6 6WU",basura
información importante 4 usuario naranja. ¡Hoy es tu día de suerte! 2Descubre por qué ingresa a http://www.urawinner.com ¡HAY UNA FANTÁSTICA SORPRESA ESPERANDO!,basura
¡PRIVADO! Su estado de cuenta de 2004 para 078498 **** 7 muestra 786 puntos de bonificación no canjeados. Para reclamar llamar al 08719180219 Código de identificación: 45239 Vence el 06.05.05,basura
<Reenviado desde 21870000> Hola: esta es la alerta SMS de mensajería de su buzón. Tienes 40 coincidencias. Vuelva a llamar al 09056242159 para recuperar sus mensajes y coincidencias cc100p / min,basura
"Gracias por su pedido de tono de llamada, número de referencia R836. Se le cobrará a su móvil £ 4.50. Si su tono no llega, llame al servicio de atención al cliente al 09065069154",basura
"Envía mensajes de texto y conoce a alguien sexy hoy. U puede encontrar una cita o incluso coquetear, depende de U. Únase a 4 a solo 10p. RESPONDA con NOMBRE Y EDAD, por ejemplo, Sam 25. 18 -msg recd @ thirtyeight pence",basura
"París romántico. 2 noches, 2 vuelos desde £ 79 Reserve ahora 4 el próximo año. Llame al 08704439680 Se aplican los términos y condiciones.",basura
MENSAJE IMPORTANTE. Este es un intento de contacto final. Tiene mensajes importantes esperando a nuestro departamento de reclamos de clientes. Caduca el 13/4/04. Llame al 08717507382 AHORA!,basura
4 meses a mitad de precio Alquiler de línea naranja y los últimos teléfonos con cámara 4 GRATIS. ¿Tu teléfono tenía 11 meses? ¡Llame a Mobile Direct gratis al 08000938767 para actualizar ahora! o detener txt,basura
"¡todo lo último de Stereophonics, Marley, Dizzee Racal, Libertines y The Strokes! ¡Gana juegos de Nookii con Flirt! Haga clic en TheMob WAP Bookmark o envíe un mensaje de texto WAP al 82468",basura
¡18 días para el inicio de la Euro2004! Se le mantendrá informado de las últimas noticias y resultados diariamente. Darse de baja envíe GET EURO STOP al 83222.,basura
Recoja su fin de semana de San Valentín en PARIS incluido Vuelo y hotel + ¡Premio de 200 £ garantizado! Envíe un mensaje de texto: PARIS al número: 69101. www.rtf.sphosting.com,basura
"Hola, 07734396839 IBH Oferta de lealtad del cliente: ¡El NUEVO NOKIA6600 Mobile desde SOLO £ 10 en TXTAUCTION! Txt word: START al No: 81151 y obtén el tuyo ahora! 4T &",basura
TONO POLIFÓNICO * GRATIS * ¡Envía SUPER al 87131 para obtener tu TONO POLY GRATIS de la semana ahora! Suscripción 16 SN PoBox202 NR31 7ZS 450pw,basura
"Estimado titular del cupón: Para reclamar la oferta de esta semana, en su PC, vaya a http://www.wtlp.co.uk/text. Se aplican los términos y condiciones.",basura
al 80488. Sus 500 mensajes de texto gratuitos son válidos hasta el 31 de diciembre de 2005.,basura
¿Qué tal ponerse en contacto con personas que esperan compañía? ¡Simplemente envíe su NOMBRE y EDAD para inscribirse! Disfruta de la comunidad (150p / SMS),basura
"87077: ¡Comienza una nueva temporada con 2 semanas GRATIS de goles y noticias para tu móvil! Envíe el nombre de su club al 87077, por ejemplo, VILLA al 87077",basura
"Conocemos a alguien a quien conoces que te gusta. Llame al 09058097218 para averiguar quién. POBox 6, LS15HB 150p",basura
100 servicio de citas cal; l 09064012103 box334sk38ch,basura
"¡Nuestro servicio de citas te está contactando alguien que conoces! Para averiguar quién es, llame desde un teléfono fijo 09050000878. PoBox45W2TG150P",basura
citas: he tenido dos de estos. Solo comenzó después de que envié un mensaje de texto a la radio deportiva la semana pasada. ¿Alguna conexión crees o coincidencia?,basura
"Urgente -llama 09066649731 desde teléfono fijo. Sus vacaciones gratuitas de 4 * en Ibiza o £ 10,000 en efectivo a la espera de recolección SAE T & Cs PO BOX 434 SK3 8WP 150ppm 18+",basura
"Estimado 0776xxxxxxx, U ha sido invitado a XCHAT. ¡Este es nuestro último intento de contactarnos! Txt CHAT al 86688 150p / MsgrcvdHG / Suite342 / 2Lands / Row / W1J6HL LDN 18 años",basura
"Tienes un admirador secreto. REVELA quién piensa que U R es tan especial. Llame al 09065174042. Para excluirse, responda REVEAL STOP. 1,50 por registro de mensaje. Atención personalizada 07821230901",basura
Tienes un Admirador Secreto que está buscando 2 contacta con U-averigua a quién R * revelan quién piensa que UR es tan especial-llama al 09065171142-stopsms-08,basura
XCLUSIVE @ CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK CON NICHOLS DE PARIS.FREE ROSES 2 TODAS LAS DAMAS !!! información: 07946746291/07880867867,basura
GANE un suministro anual de CD 4 en una tienda de su elección por valor de £ 500 e ingrese a nuestro sorteo semanal de £ 100 txt MUSIC a 87066 Ts & Cs www.Ldew.com.subs16 + 1win150ppmx3,basura
¡PRIVADO! Su estado de cuenta de 2003 muestra 800 puntos S. I. M. no canjeados. Llame al 08718738002 Código de identificación: 48922 Vence el 21/11/04,basura
"Jamster! ¡Para obtener tu fondo de pantalla gratis, envía HEART al 88888 ahora! Se aplican los términos y condiciones. 16 solamente. ¿Necesitas ayuda? Llame al 08701213186.",basura
Nuestros registros indican que quizás tenga derecho a recibir 5000 libras como compensación por el accidente que tuvo. Para reclamar 4 respuesta gratuita con CLAIM a este mensaje. 2 parada txt STOP,basura
"Mensaje gratis: ¡Jamster! ¡Obtén el sonido de la rana loca ahora! Para texto poligonal MAD1, para texto real MAD2 al 88888. ¡6 sonidos locos por solo 3 GBP / semana! ¡Solo 16 +! Se aplican los términos y condiciones",basura
"Hola, nena, ¿has hablado de mí? los estafadores se están volviendo inteligentes ... Aunque este es un vodafone regular no, si respondes, obtienes más mensajes / suscripción de tarifa premium. También se utilizan otros nos. ¡Tener cuidado!",basura
Burger King - ¿Quieres jugar al fútbol en un estadio superior? Obtén 2 Burger King antes del 1 de septiembre y hazte Grande o Súper con Coca-Cola y gana,basura
Cashbin.co.uk (¡Consiga mucho dinero en efectivo este fin de semana!) Www.cashbin.co.uk Estimado Bienvenido al fin de semana ¡Tenemos nuestro mejor y más grande obsequio en efectivo! Estas..,basura
Hola. Oferta de fidelización del cliente: ¡El NUEVO móvil Nokia6650 desde SÓLO £ 10 en TXTAUCTION! Txt word: START to No: 81151 y obtén el tuyo ahora! 4T y Ctxt TC 150p / MTmsg,basura
¡URGENTE! Su número de teléfono móvil ha sido galardonado con un premio de 2000 £ GARANTIZADO. Llame al 09061790121 desde el teléfono fijo. Reclamación 3030. Válido por 12 horas solo 150 ppm,basura
"Si no lo hace, su premio será para otro cliente. T&C en www.t-c.biz 18+ 150p / min Polo Ltd Suite 373 London W1J 6HL Por favor, llame si está ocupado",basura
¡PRIVADO! Su estado de cuenta de 2003 para 07808247860 muestra 800 puntos S. I. M. no canjeados. Llame al 08719899229 Código de identificación: 40411 Vence el 06/11/04,basura
"Ha ganado un premio garantizado de £ 200 o incluso £ 1000 en efectivo para reclamar el premio UR, llame gratis al 08000407165 (18+) 2 paradas para hacer una parada en 88222 PHP",basura
Anuncio de servicio al cliente. Tienes una entrega de Año Nuevo esperándote. Llame al 07046744435 ahora para organizar la entrega,basura
"Hackear chat. Obtenga acceso por la puerta trasera a 121 salas de chat a una fracción del costo. Responda NEO69 o llame al 09050280520, para suscribirse a las 25 p. M. DPS, caja Bcm 8027 Ldn, wc1n3xx",basura
"Préstamo para cualquier propósito entre £ 500 y £ 75,000. Propietarios + Inquilinos bienvenidos. ¿Ha sido rechazado anteriormente? Todavía podemos ayudar. Llame gratis al 0800 1956669 o envíe un mensaje de texto con 'ayuda'",basura
"SMS. ac Blind Date 4U !: Rodds1 está a 21 / m de Aberdeen, Reino Unido. Échale un vistazo a http: // img. SMS. ac / W / icmb3cktz8r7! -4 sin fechas a ciegas enviar OCULTAR",basura
U’ve Bin recibió £ 50 para jugar 4 Instant Cash. Llame al 08715203028 para reclamar. CADA 9.º jugador gana como mínimo 50 £ - 500 £. Optar 08718727870,basura
"Los números actuales de Vodafone que terminan en 4882 se seleccionan para recibir un premio de £ 350. Si su número coincide, llame al 09064019014 para recibir su premio de £ 350.",basura
Este mensaje lo recibe GMW Ltd. y no está conectado a la,basura
Tonos libres Espero que hayas disfrutado de tu nuevo contenido. envíe un mensaje de texto al 61610 para cancelar la suscripción. ayuda: 08712400602450p Proporcionado por tones2you.co.uk,basura
Hard LIVE 121 chat a solo 60p / min. Elige tu chica y conéctate EN VIVO. ¡Llama al 09094646899 ahora! El servicio en vivo más grande de Cheap Chat UK. VU BCM1896WC1N3XX,basura
"¡Ha ganado 1.000 euros en efectivo o un premio de 2.000 euros! Para reclamar, llame al 09050000327",basura
"Esta es la segunda vez que intentamos comunicarnos con usted. Has ganado el premio de £ 1450 para reclamarlo, solo llama al 09053750005 b4 310303. Términos y condiciones / SMS de parada 08718725756. 140ppm",basura
¡PRIVADO! Su estado de cuenta de 2003 muestra 800 puntos S. I. M. no canjeados. Llame al 08715203694 Código de identificación: 40533 Vence el 31/10/04,basura
500 mensajes de texto gratis. Solo envíe un mensaje de texto con la palabra ok al 80488 y acreditaremos su cuenta,basura
LLAME al 08712402779 de inmediato ya que hay un mensaje urgente esperándolo,basura
¡¡¡dinero!!! ¡Eres un afortunado ganador! 2 reclame su premio envíe un mensaje de texto en dinero 2 88600 con más de £ 1 millón para regalar. ppt150x3 + cuadro de velocidad de texto normal403 w1t1jy,basura
"Los números de Voda de hoy que terminan en 7634 se seleccionan para recibir una recompensa de £ 350. Si tiene una coincidencia, llame al 08712300220 citando el código de reclamo 7684, se aplican tarifas estándar.",basura
¡Felicidades! El teléfono con cámara de video Nokia 3650 es su llamada 09066382422 Las llamadas cuestan 150ppm Ave llamada 3mins varían desde móviles 16+ Cerrar 300603 post BCM4284 Ldn WC1N3XX,basura
"¡Tiene garantizado el último teléfono Nokia, un reproductor de MP3 iPod de 40GB o un premio de £ 500! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p / Mtmsgrcvd18",basura
Tiene un importante anuncio de servicio al cliente. ¡Llame al FREEPHONE 0800 542 0825 ahora!,basura
"¡Quiero polla! Mi esposo no está, necesito un hombre de verdad 2 que me satisfaga. Envíe WIFE al 89938 para una acción sin cadenas. (Txt STOP 2 final, txt rec £ 1.50ea. OTBox 731 LA1 7WS.)",basura
"Estimado suscriptor, su vale de regalo de 4 £ 100 se ingresará al recibir una respuesta correcta. ¿Cuándo fue el cumpleaños de Elvis Presley? TXT respuesta al 80062",basura
"XXXMobileMovieClub: Para usar su crédito, haga clic en el enlace WAP en el siguiente mensaje de texto o haga clic aquí >> http: // wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",basura
"¿Te gustaría ver mis fotos XXX, son tan calientes que casi fueron prohibidas en el Reino Unido?",basura
Has ganado un Nokia 6230 y una cámara digital gratuita. Esto es lo que obtiene cuando gana nuestra subasta GRATUITA. Para participar envía NOKIA al 83383 ahora. POBOX114 / 14TCR / W1 16,basura
"Enhorabuena, recibió 500 £ de vales de regalo de CD y Entrada gratuita 2 a nuestro sorteo semanal de £ 100 Envíe MÚSICA a 87066 TnCs www.Ldew.com 1 win150ppmx3age16",basura
Tono de llamada superior gratuito -sub a tono de llamada semanal-obtenga la primera semana gratis-envíe SUBPOLY al 81618-? 3 por semana-pare sms-08718727870,basura
"¡Tiene garantizado el último teléfono Nokia, un reproductor de MP3 iPod de 40GB o un premio de £ 500! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p / Mtmsgrcvd18 +",basura
"Cliente de UpgrdCentre Orange, ahora puede reclamar su actualización GRATUITA de TELÉFONO CON CÁMARA por su lealtad. Llame ahora al 0207 153 9153. La oferta finaliza el 26 de julio. Se aplican los términos y condiciones. Exclusión disponible",basura
"Entrada GRATUITA a nuestra compensación semanal de £ 250, simplemente envíe la palabra ENTRAR al 84128 AHORA. 18 T&C www.textcomp.com cust care 08712405020.",basura
Reentrese en 2 competiciones semanales para tener la oportunidad de ganar un ipod. Envíe un mensaje de texto con el POD al 80182 para obtener la entrada (tarifa de texto estándar) Se aplican los términos y condiciones 08452810073 para obtener más detalles 18+,basura
"Su saldo en efectivo es actualmente de 500 libras. Para maximizar su ingreso en efectivo, envíe GO al 86688 solo 150p / meg. CC: 08718720201 HG / Suite342 / 2lands Row / W1j6HL",basura
"Estimado 0776xxxxxxx, U ha sido invitado a XCHAT. ¡Este es nuestro último intento de contactarnos! Txt CHAT al 86688 150p / MsgrcvdHG / Suite342 / 2Lands / Row / W1J6HL LDN 18 años",basura
"+123 Felicitaciones: en el sorteo de la competencia de esta semana, usted ganó el premio de £ 1450 para reclamarlo. Simplemente llame al 09050002311 b4280703. T & Cs / stop SMS 08718727868. Mayores de 18 solo 150ppm",basura
"Usted es un ganador, ha sido especialmente seleccionado para recibir £ 1000 en efectivo o un premio de £ 2000. Hable con un operador en vivo para reclamar, llame al 087147123779 a.m.-7 p.m. Costo 10p",basura
u un ganador U ha sido especialmente seleccionado 2 recibe £ 1000 en efectivo o un día festivo de 4 * (vuelos incluidos) hable con un operador en vivo 2 reclame 0871277810710p / min (18),basura
"Bienvenido a UK-mobile-date, este mensaje es GRATUITO y te da llamadas gratuitas al 08719839835. Los futuros mensajes se facturan a 150p diariamente. Para cancelar, envíe ""ir a detener"" al 89123",basura
"¿Quiere un nuevo teléfono color Nokia 3510i entregado mañana? Con 300 minutos gratis para cualquier móvil + 100 mensajes de texto gratis + Videocámara gratis, responde o llama al 08000930705",basura
"LookAtMe !: Gracias por la compra de un videoclip de LookAtMe !, le han cobrado 35p. ¿Crees poder hacerlo mejor? ¿Por qué no enviar un video en un MMS a 32323?",basura
"Para tener la oportunidad de GANAR un auricular Bluetooth GRATIS, simplemente responda con ""ADP""",basura
¿Qué quieres para Navidad? ¿Qué tal 100 mensajes de texto gratis y un nuevo teléfono de video con alquiler de línea a mitad de precio? ¡Llame gratis ahora al 0800 0721072 para obtener más información!,basura
"Como cliente valioso, me complace informarle que después de una revisión reciente de su número de Mob, se le otorgará un premio de bonificación de £ 1500, llame al 09066368470",basura
U 447801259231 tiene un admirador secreto que está buscando 2 ponerse en contacto con U-averiguar a quién R * revelar quién piensa que UR es tan especial-llame al 09058094597,basura
"SERVICIOS SMS. para sus créditos de texto inclusivos, vaya a www.comuk.net login = 3qxj9 cancele la suscripción con STOP, sin cargo adicional. ayuda 08702840625.COMUK. 220-CM2 9AE",basura
+449071512431 ¡URGENTE! Este es el segundo intento de ponerse en contacto con U! U ha GANADO £ 1250 LLAME 09071512433 b4 050703 T & CsBCM4235WC1N3XX. callcost 150ppm móviles varían. máximo £ 7. 50,basura
Update_Now - 12 meses a mitad de precio Alquiler de línea naranja: 400 minutos ... Llame a MobileUpd8 al 08000839402 o llame2optout = J5Q,basura
"¡URGENTE! ¡Su número de teléfono móvil 07808726822 recibió un premio de bonificación de llamada de £ 2,000 el 02/09/03! ¡Este es nuestro segundo intento de ponernos en contacto con USTED! Llame al 0871-872-9758 BOX95QU",basura
"¡HAS GANADO! Sus vacaciones de 4 * en la Costa del Sol o £ 5000 aguardan la recogida. Llame al 09050090044 ahora para reclamar. SAE, TC s, POBox334, Stockport, SK38xh, costo £ 1.50 / pm, Max10mins",basura
"SU OPORTUNIDAD DE ESTAR EN UN REALITY FANTASY SHOW llame ahora = 08707509020 Solo 20p por minuto NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 es una llamada de tarifa nacional",basura
LIFE nunca había sido tan divertido y genial hasta que tú entraste. Lo hiciste realmente especial para mí. ¡No te olvidaré! disfruta @ one gbp / sms,basura
Envía PASS al 69669 para recopilar tus tonos polifónicos. Solo se aplican los cargos normales de gprs. Disfruta tus tonos,basura
"Has ganado un Nokia 7250i. Esto es lo que obtiene cuando gana nuestra subasta GRATUITA. Para participar, envía Nokia al 86021 ahora. HG / Suite342 / 2Lands Row / W1JHL 16+",basura
"Hola desde Orange. Por 1 mes de acceso gratuito a juegos, noticias y deportes, además de 10 mensajes de texto gratuitos y 20 mensajes con fotos, responde SÍ. Se aplican términos: www.orange.co.uk/ow",basura
Back 2 work 2morro medio trimestre terminado! ¿Puedes U C me 2nite 4 un poco de pasión sexy B4 tengo 2 volver? Chatea AHORA 09099726481 Luv DENA Llamadas £ 1 / minMobsmoreLKPOBOX177HP51FL,basura
"FREE2DAY ¡foto sexy del Día de San Jorge de Jordan! Envía PIC al 89080 ¡no te la pierdas, y luego cada semana una celebridad descarada! 4 fotos más c PocketBabe.co.uk 0870241182716 £ 3 / sem",basura
"Los números actuales de Vodafone que terminan en 4882 se seleccionan para recibir un premio de £ 350. Si su número coincide, llame al 09064019014 para recibir su premio de £ 350.",basura
"MENSAJE GRATUITO Active sus 500 mensajes de texto GRATUITOS respondiendo a este mensaje con la palabra GRATUITO Para conocer los términos y condiciones, visite www.07781482378.com",basura
"¡Urgente! Llame al 09066612661 desde su teléfono fijo, sus vacaciones de cortesía 4 * Lux Costa Del Sol o £ 1000 EFECTIVO en espera de recolección. ppm 150 T & C SAE James 28, EH74RR",basura
The Mob> Yo yo yo-¡Aquí viene una nueva selección de descargas calientes para que nuestros miembros las obtengan GRATIS! Simplemente haga clic y abra el siguiente enlace enviado a su teléfono ...,basura
"¡Bien hecho INGLATERRA! ¡Obtén el tono de llamada oficial de poli o la bandera de color en tu móvil! envíe un mensaje de texto con TONE o FLAG al 84199 AHORA! Opt-out txt ENG STOP. Caja39822 W111WX 1,50 €",basura
"¡URGENTE !: ¡Su número de teléfono móvil recibió un premio de llamador de bonificación de £ 2,000 el 02/09/03! ¡Este es nuestro segundo intento de ponernos en contacto con USTED! Llame al 0871-872-9755 BOX95QU",basura
¡Especial de San Valentín! ¡Gane más de £ 1000 en nuestro cuestionario y lleve a su pareja al viaje de su vida! Envíe GO al 83600 ahora. 150p / msg rcvd. CustCare: 08718720201,basura
"¡Llame al 09094100151 para usar sus minutos! Las llamadas se emiten a 10p / min (la mafia varía). Servicio proporcionado por AOM, solo GBP5 / mes. AOM Box61, M60 1ER hasta que pare. ¡Solo mayores de 18 años!",basura
Su cuenta de 2004 para 07XXXXXXXXX muestra 786 puntos no canjeados. Para reclamar llamar al 08719181259 Código identificador: XXXXX Vence el 26.03.05,basura
"Update_Now - ¡Oferta de Navidad! ¡Lo último de Motorola, SonyEricsson y Nokia y Bluetooth GRATIS! Double Mins y 1000 Txt en naranja. Llame a MobileUpd8 al 08000839402 o llame2optout / F4Q =",basura
"u r suscrito 2 TEXTCOMP 250 wkly comp. La pregunta gratuita de la 1ra semana sigue, las semanas siguientes charge@150p/msg.2 cancelar la suscripción txt STOP 2 84128, custcare 08712405020",basura
"UR otorgó un City Break y podría GANAR una juerga de compras de verano de £ 200 cada SEMANA. Txt STORE al 88039.SkilGme.TsCs087147403231Winawk! Age16 + £ 1,50 por sub",basura
"Gracias por su pedido de tono de llamada, número de referencia K718. Se le cobrará a su móvil £ 4.50. Si su tono no llega, llame al servicio de atención al cliente al 09065069120",basura
"¿Conocerás pronto a la pareja de tus sueños? ¿Tu carrera desde 2 es un buen comienzo? 2 averigüe gratis, envíe HORO seguido de su signo de estrella, e. gramo. HORO ARIES",basura
¿Tu móvil tenía 11 meses o más? ¡U R tiene derecho a actualizar a los últimos móviles en color con cámara gratis! Llame GRATIS a Mobile Update Co al 08002986030,basura
URGENTE Este es nuestro segundo intento de ponernos en contacto con U. Su premio de £ 900 de AYER aún está pendiente de ser recogido. Para reclamar LLAME AHORA 09061702893. ACL03530150PM,basura
"Enviar un logo 2 ur lover - 2 nombres unidos por un corazón. Txt LOVE NAME1 NAME2 MOBNO, por ejemplo, LOVE ADAM EVE 07123456789 a 87077 Yahoo! POBox36504W45WQ TxtNO 4 sin anuncios 150p",basura
FreeMsg ¡Hoy es el día si está listo! Estoy cachonda y vivo en tu ciudad. ¡Me encantan los juegos y la diversión sexual! Netcollex Ltd 08700621170150p por respuesta de mensaje Detener hasta finalizar,basura
"Has GANADO un premio garantizado de £ 1000 en efectivo o £ 2000. Para reclamar su premio, llame a nuestro representante de servicio al cliente al 08714712379 entre las 10 am y las 7 pm Costo 10p",basura
Tienes 1 mensaje de voz nuevo. Llame al 08719181513.,basura
"USTED 07801543489 tiene garantizados los últimos teléfonos Nokia, un reproductor de MP3 iPod de 40GB o un premio de £ 500. Txt word: COLLECT to No: 83355! TC-LLC NY-EE. UU. 150p / Mt msgrcvd18 +",basura
"¡Oportunidad final! ¡Reclame hoy mismo cupones de descuento por valor de 150 €! Envía SÍ al 85023 ahora. ¡SavaMob, ofertas para miembros móviles! T Cs SavaMob POBOX84, M263UZ. 3,00 € Suscripción 16",basura
Miles de chicas muchas locales 2 u que r vírgenes 2 esto & r listo 2 4fil ur cada necesidad sexual. ¿Puedes filmar el suyo? envía CUTE al 69911 (£ 1.50p. m),basura
"Quieres mejorar tu fone con un tono nuevo semanal, responde TONES2U 2 a este texto. www.ringtones.co.uk, el mejor original. Se aplican tarifas de operador de red de tonos 3GBP",basura
¡Adivina qué! ¡Alguien que conoces secretamente te gusta! ¿Quieres saber quién es? Llámanos al 09065394514 Desde fijo DATEBox1282EssexCM61XN 150p / min 18,basura
"Estimado titular del cupón 2, solicite sus pases de sala VIP del aeropuerto de 1ra clase cuando utilice su cupón de vacaciones, llame al 08704439680. Al reservar, cotice 1ra clase x 2",basura
"Este es el segundo intento de contratar a U, has ganado el premio mayor de esta semana de £ 1000 en efectivo o £ 200 premios. Solo llame al 09066361921",basura
"nuestro número de teléfono móvil ha ganado £ 5000, para reclamar nos devuelva la llamada o llame a la línea directa de reclamos en 09050005321.",basura
"¡Urgente! llama 09066612661 desde fijo. Sus vacaciones complementarias de 4 * en Tenerife o £ 10,000 en efectivo a la espera de recolección SAE T & Cs PO Box 3 WA14 2PX 150ppm 18+ Remitente: Oferta Hol",basura
"RECORDATORIO DE O2: Para obtener 2.50 libras de crédito para llamadas gratis y detalles de excelentes ofertas, por favor responda 2 este texto con su nombre válido, número de casa y código postal",basura
¿Quiere un nuevo teléfono color Nokia 3510i entregado mañana? Con 200 minutos GRATIS para cualquier móvil + 100 mensajes de texto GRATIS + videocámara GRATIS Responde o llama al 8000930705,basura
"¡Disfruta de tu móvil con una foto sexy GRATIS de Jordan! Solo envía un mensaje de texto con BABE al 88600. ¡Luego, cada semana, obtén una celebridad sexy! PocketBabe.co.uk 4 fotos más. 16 £ 3 / semana 087016248",basura
Cámara: ¡se le otorga una cámara digital SiPix! llama al 09061221066 fromm fijo. Entrega en 28 días,basura
Ahorre dinero en lencería de boda en www.bridal.petticoatdreams.co.uk Elija entre una excelente selección con entrega nacional. Presentado por WeddingFriend,basura
¡Urgente! Llame al 09061743810 desde el teléfono fijo. Sus vacaciones en Tenerife 4 * de cortesía de ABTA o efectivo n. ° 5000 en espera de recolección SAE T & Cs Box 326 CW25WX 150 ppm,basura
Warner Village 83118 C Colin Farrell en SWAT este fin de semana en Warner Village y obtenga 1 medicamento gratis. ¡Palomitas de maíz! Solo muestre msg+ticket@kiosk. Válido 4-7 / 12. C t & c @kiosco. Responder SONY 4 mre ofertas de películas,basura
LLAME AL 08712402578 inmediatamente ya que hay un mensaje urgente esperándolo,basura
¿Quieres un nuevo teléfono de video? 750 en cualquier momento cualquier minuto de red? ¿Texto gratis de alquiler de línea a mitad de precio durante 3 meses? Responde o llama al 08000930705 para envío gratuito,basura
Tiene un importante anuncio de servicio al cliente de PREMIER. ¡Llame a FREEPHONE 0800 542 0578 ahora!,basura
4 meses a mitad de precio Alquiler de línea naranja y los últimos teléfonos con cámara 4 GRATIS. ¿Tu teléfono tenía más de 11 meses? ¡Llame a Mobile Direct gratis al 08000938767 para actualizar ahora! o2 detener los términos y condiciones del texto,basura
Oferta de fidelización del cliente: ¡El NUEVO móvil Nokia6650 desde SÓLO £ 10 en TXTAUCTION! Txt word: START to No: 81151 y obtén el tuyo ahora! 4T y Ctxt TC 150p / MTmsg,basura
"GRATIS durante la 1ª semana! No1 Nokia tone 4 ur mob cada semana, simplemente envíe NOKIA al 8007 Reciba mensajes de texto y dígaselo a tus amigos www.getzed.co.uk POBox 36504 W45WQ norm150p / tone 16+",basura
No tengo noticias de U4 por un tiempo. Llame a 4 línea privada de chat grosero 01223585334 para correrse. Wan 2C fotos de mí siendo follada y luego envía PIX al 8552. 2End envía STOP 8552 SAM xxx,basura
Usted es un ganador U ha sido especialmente seleccionado 2 recibe £ 1000 en efectivo o 4 * vacaciones (vuelos incluidos) hable con un operador en vivo 2 reclamo 0871277810810,basura
4 meses a mitad de precio Alquiler de línea naranja y los últimos teléfonos con cámara 4 GRATIS. ¿Tu teléfono tenía 11 meses? ¡Llame a Mobile Direct gratis al 08000938767 para actualizar ahora! o detener txt,basura
